date,temple,day_of_week,month,is_weekend,is_festival,festival_name,weather,temperature_c,footfall,surge_flag
2022-01-01,somnath,5,1,1,0,,sunny,12.4,18564,1
2022-01-01,dwarka,5,1,1,0,,sunny,12.4,17242,1
2022-01-01,ambaji,5,1,1,0,,sunny,12.4,13906,0
2022-01-01,pavagadh,5,1,1,0,,sunny,12.4,10386,0
2022-01-02,somnath,6,1,1,0,,cloudy,13.4,18415,1
2022-01-02,dwarka,6,1,1,0,,cloudy,13.4,16522,1
2022-01-02,ambaji,6,1,1,0,,cloudy,13.4,14285,0
2022-01-02,pavagadh,6,1,1,0,,cloudy,13.4,12721,0
2022-01-03,somnath,0,1,0,0,,sunny,15.2,9824,0
2022-01-03,dwarka,0,1,0,0,,sunny,15.2,8407,0
2022-01-03,ambaji,0,1,0,0,,sunny,15.2,7944,0
2022-01-03,pavagadh,0,1,0,0,,sunny,15.2,7139,0
2022-01-04,somnath,1,1,0,0,,cloudy,12.1,10815,0
2022-01-04,dwarka,1,1,0,0,,cloudy,12.1,8108,0
2022-01-04,ambaji,1,1,0,0,,cloudy,12.1,7617,0
2022-01-04,pavagadh,1,1,0,0,,cloudy,12.1,6739,0
2022-01-05,somnath,2,1,0,0,,cloudy,17.4,10694,0
2022-01-05,dwarka,2,1,0,0,,cloudy,17.4,9269,0
2022-01-05,ambaji,2,1,0,0,,cloudy,17.4,8258,0
2022-01-05,pavagadh,2,1,0,0,,cloudy,17.4,5957,0
2022-01-06,somnath,3,1,0,0,,cloudy,23.7,8356,0
2022-01-06,dwarka,3,1,0,0,,cloudy,23.7,8686,0
2022-01-06,ambaji,3,1,0,0,,cloudy,23.7,7264,0
2022-01-06,pavagadh,3,1,0,0,,cloudy,23.7,6927,0
2022-01-07,somnath,4,1,0,0,,cloudy,21.9,11061,0
2022-01-07,dwarka,4,1,0,0,,cloudy,21.9,8416,0
2022-01-07,ambaji,4,1,0,0,,cloudy,21.9,7750,0
2022-01-07,pavagadh,4,1,0,0,,cloudy,21.9,6357,0
2022-01-08,somnath,5,1,1,0,,sunny,16.6,19616,1
2022-01-08,dwarka,5,1,1,0,,sunny,16.6,16810,1
2022-01-08,ambaji,5,1,1,0,,sunny,16.6,14724,0
2022-01-08,pavagadh,5,1,1,0,,sunny,16.6,12120,0
2022-01-09,somnath,6,1,1,0,,sunny,17.8,18060,1
2022-01-09,dwarka,6,1,1,0,,sunny,17.8,16993,1
2022-01-09,ambaji,6,1,1,0,,sunny,17.8,13777,0
2022-01-09,pavagadh,6,1,1,0,,sunny,17.8,13750,0
2022-01-10,somnath,0,1,0,0,,sunny,21.7,10999,0
2022-01-10,dwarka,0,1,0,0,,sunny,21.7,10070,0
2022-01-10,ambaji,0,1,0,0,,sunny,21.7,8096,0
2022-01-10,pavagadh,0,1,0,0,,sunny,21.7,6907,0
2022-01-11,somnath,1,1,0,0,,cloudy,22.2,9290,0
2022-01-11,dwarka,1,1,0,0,,cloudy,22.2,8737,0
2022-01-11,ambaji,1,1,0,0,,cloudy,22.2,8357,0
2022-01-11,pavagadh,1,1,0,0,,cloudy,22.2,5796,0
2022-01-12,somnath,2,1,0,0,,sunny,12.5,10154,0
2022-01-12,dwarka,2,1,0,0,,sunny,12.5,9594,0
2022-01-12,ambaji,2,1,0,0,,sunny,12.5,8140,0
2022-01-12,pavagadh,2,1,0,0,,sunny,12.5,7632,0
2022-01-13,somnath,3,1,0,0,,cloudy,17.0,9962,0
2022-01-13,dwarka,3,1,0,0,,cloudy,17.0,8532,0
2022-01-13,ambaji,3,1,0,0,,cloudy,17.0,8357,0
2022-01-13,pavagadh,3,1,0,0,,cloudy,17.0,6224,0
2022-01-14,somnath,4,1,0,1,Uttarayan,sunny,15.9,36744,1
2022-01-14,dwarka,4,1,0,1,Uttarayan,sunny,15.9,38985,1
2022-01-14,ambaji,4,1,0,1,Uttarayan,sunny,15.9,27836,1
2022-01-14,pavagadh,4,1,0,1,Uttarayan,sunny,15.9,28632,1
2022-01-15,somnath,5,1,1,1,Uttarayan,sunny,12.8,52826,1
2022-01-15,dwarka,5,1,1,1,Uttarayan,sunny,12.8,50706,1
2022-01-15,ambaji,5,1,1,1,Uttarayan,sunny,12.8,35101,1
2022-01-15,pavagadh,5,1,1,1,Uttarayan,sunny,12.8,48278,1
2022-01-16,somnath,6,1,1,0,,cloudy,25.8,20957,1
2022-01-16,dwarka,6,1,1,0,,cloudy,25.8,16521,1
2022-01-16,ambaji,6,1,1,0,,cloudy,25.8,13496,0
2022-01-16,pavagadh,6,1,1,0,,cloudy,25.8,10710,0
2022-01-17,somnath,0,1,0,0,,sunny,22.3,11037,0
2022-01-17,dwarka,0,1,0,0,,sunny,22.3,9570,0
2022-01-17,ambaji,0,1,0,0,,sunny,22.3,6410,0
2022-01-17,pavagadh,0,1,0,0,,sunny,22.3,6847,0
2022-01-18,somnath,1,1,0,0,,cloudy,16.2,9911,0
2022-01-18,dwarka,1,1,0,0,,cloudy,16.2,9098,0
2022-01-18,ambaji,1,1,0,0,,cloudy,16.2,8809,0
2022-01-18,pavagadh,1,1,0,0,,cloudy,16.2,5986,0
2022-01-19,somnath,2,1,0,0,,sunny,22.2,10052,0
2022-01-19,dwarka,2,1,0,0,,sunny,22.2,8851,0
2022-01-19,ambaji,2,1,0,0,,sunny,22.2,7857,0
2022-01-19,pavagadh,2,1,0,0,,sunny,22.2,5895,0
2022-01-20,somnath,3,1,0,0,,cloudy,20.5,11090,0
2022-01-20,dwarka,3,1,0,0,,cloudy,20.5,9102,0
2022-01-20,ambaji,3,1,0,0,,cloudy,20.5,9136,0
2022-01-20,pavagadh,3,1,0,0,,cloudy,20.5,6637,0
2022-01-21,somnath,4,1,0,0,,cloudy,25.3,10305,0
2022-01-21,dwarka,4,1,0,0,,cloudy,25.3,9321,0
2022-01-21,ambaji,4,1,0,0,,cloudy,25.3,8821,0
